name,location,rest_type,online_order,book_table,rate,votes,approx_cost,cuisines,listed_in_type,listed_in_city,price_segment,rating_category
Juicy Momos,Banashankari,Quick Bites,Yes,No,3.5,80,250,"Tibetan, Momos",Delivery,Banashankari,Low,Average
Amande Patisserie,Basavanagudi,Bakery,Yes,No,4.0,73,300,"Bakery, French, Desserts",Delivery,Banashankari,Medium,Excellent
Anand Sweets and Savouries,Jayanagar,Sweet Shop,Yes,No,3.9,84,400,"Mithai, Street Food",Delivery,Banashankari,Medium,Average
Chicken Hunt,Banashankari,Quick Bites,Yes,No,3.5,88,350,"South Indian, North Indian, Chinese, Biryani",Delivery,Banashankari,Medium,Average
Swadesh Tadka,Banashankari,Casual Dining,Yes,No,3.5,179,600,"North Indian, Chinese, Beverages",Delivery,Banashankari,Medium,Average
Cane-O-La,Basavanagudi,Quick Bites,Yes,No,3.8,61,100,Juices,Delivery,Banashankari,Low,Average
New Biryani Mane,Uttarahalli,Casual Dining,Yes,No,3.7,128,450,"North Indian, Chinese, Biryani, South Indian",Delivery,Banashankari,Medium,Average
Upahara Darshini,Jayanagar,Quick Bites,Yes,No,3.8,339,400,"South Indian, North Indian, Chinese",Delivery,Banashankari,Medium,Average
Karnataka Bhel House,Basavanagudi,Quick Bites,Yes,No,4.1,449,100,Street Food,Delivery,Banashankari,Low,Excellent
Sreeraj Lassi Bar,Jayanagar,"Dessert Parlor, Beverage Shop",Yes,No,4.1,210,150,Beverages,Delivery,Banashankari,Low,Excellent
Bunt's Biriyani Palace,Banashankari,Quick Bites,Yes,No,3.0,213,400,"North Indian, South Indian, Chinese, Biryani, Seafood",Delivery,Banashankari,Medium,Average
Chai Point,Jayanagar,"Beverage Shop, Quick Bites",Yes,No,3.2,208,250,"Tea, Beverages, Fast Food",Delivery,Banashankari,Low,Average
Janahaar,Banashankari,Quick Bites,Yes,No,3.8,70,100,South Indian,Delivery,Banashankari,Low,Average
Redberrys,Basavanagudi,Cafe,Yes,No,4.0,219,600,"Cafe, Italian",Delivery,Banashankari,Medium,Excellent
Utsav,Banashankari,Quick Bites,Yes,No,3.7,59,200,"North Indian, Street Food",Delivery,Banashankari,Low,Average
The Spice Saga,Kumaraswamy Layout,Casual Dining,Yes,No,3.7,124,750,"Biryani, North Indian, Chinese, Seafood",Delivery,Banashankari,High,Average
Jalsa,Banashankari,Casual Dining,Yes,Yes,4.1,775,800,"North Indian, Mughlai, Chinese",Delivery,Banashankari,High,Excellent
Subz,Jayanagar,Casual Dining,Yes,Yes,4.2,2022,1000,"North Indian, South Indian",Delivery,Banashankari,High,Excellent
Cafe Shuffle,Banashankari,Cafe,Yes,Yes,4.2,150,600,"Cafe, Italian, Continental",Delivery,Banashankari,Medium,Excellent
Mint and Mustard,Basavanagudi,Casual Dining,Yes,No,4.0,232,750,"North Indian, Chinese",Delivery,Banashankari,High,Excellent
Punjabi Raswada,Jayanagar,Casual Dining,Yes,Yes,3.5,431,800,North Indian,Delivery,Banashankari,High,Average
Vinny's,Banashankari,Casual Dining,Yes,Yes,4.2,2115,800,"Pizza, Italian, Continental, Desserts",Delivery,Banashankari,High,Excellent
Sukh Sagar,Jayanagar,Casual Dining,Yes,No,3.8,155,450,"South Indian, North Indian, Chinese, Street Food",Delivery,Banashankari,Medium,Average
Andhra Ruchulu,Jayanagar,"Casual Dining, Bar",Yes,Yes,4.1,666,1000,"Andhra, Biryani, North Indian, Chinese",Delivery,Banashankari,High,Excellent
Steaming Mugs,Basavanagudi,Cafe,Yes,No,3.9,240,700,Cafe,Delivery,Banashankari,Medium,Average
San Churro Cafe,Banashankari,"Cafe, Casual Dining",Yes,No,3.8,918,800,"Cafe, Mexican, Italian",Delivery,Banashankari,High,Average
Rajathadri Food Fort,Jayanagar,Casual Dining,Yes,No,4.0,465,600,"South Indian, North Indian, Chinese, Street Food",Delivery,Banashankari,Medium,Excellent
Brew Meister,Jayanagar,"Microbrewery, Casual Dining",Yes,Yes,4.1,970,1500,"North Indian, Continental, Finger Food, American, Asian",Delivery,Banashankari,High,Excellent
Rasoi,Banashankari,Quick Bites,Yes,No,3.3,128,300,"North Indian, Chinese",Delivery,Banashankari,Medium,Average
Mr. Singh Da Dhaba,Kumaraswamy Layout,Quick Bites,Yes,No,3.6,241,300,"North Indian, Chinese",Delivery,Banashankari,Medium,Average
Ayodhya Upachar,Banashankari,Quick Bites,Yes,No,4.3,734,200,"South Indian, North Indian, Chinese, Street Food",Delivery,Banashankari,Low,Excellent
Biriyani Mane,Jayanagar,Quick Bites,Yes,No,3.8,130,400,"North Indian, Biryani",Delivery,Banashankari,Medium,Average
Cafe Ajfan,Jayanagar,Cafe,Yes,No,4.2,261,700,"Cafe, Continental, Beverages",Delivery,Banashankari,Medium,Excellent
Brundhavana Food Point,Kumaraswamy Layout,Quick Bites,Yes,No,4.0,191,300,"South Indian, North Indian, Chinese, Street Food, Beverages",Delivery,Banashankari,Medium,Excellent
SLV Corner Restaurant,Basavanagudi,Casual Dining,Yes,No,4.1,364,550,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",Delivery,Banashankari,Medium,Excellent
The Krishna Grand,Banashankari,Casual Dining,Yes,No,3.9,888,750,"North Indian, South Indian, Chinese, Fast Food, Juices",Delivery,Banashankari,High,Average
Roti Ghar,Basavanagudi,Casual Dining,Yes,No,3.9,750,500,"North Indian, Chinese, South Indian",Delivery,Banashankari,Medium,Average
The Coffee Shack,Banashankari,Cafe,Yes,Yes,4.2,164,500,"Cafe, Chinese, Continental, Italian",Delivery,Banashankari,Medium,Excellent
Baisakhi,Basavanagudi,Casual Dining,Yes,No,3.8,527,500,North Indian,Delivery,Banashankari,Medium,Average
Corner House Ice Cream,Banashankari,Dessert Parlor,No,No,4.3,345,400,"Ice Cream, Desserts",Desserts,Banashankari,Medium,Excellent
Poonam Sweets,Banashankari,Sweet Shop,No,No,4.4,356,150,Mithai,Desserts,Banashankari,Low,Excellent
Old Mumbai Ice Cream,Banashankari,Dessert Parlor,Yes,No,3.9,38,150,Ice Cream,Desserts,Banashankari,Low,Average
Polar Bear,Banashankari,Dessert Parlor,Yes,No,3.9,116,400,"Ice Cream, Desserts, Beverages, Sandwich",Desserts,Banashankari,Medium,Average
San Churro Cafe,Banashankari,"Cafe, Casual Dining",Yes,No,3.8,918,800,"Cafe, Mexican, Italian",Desserts,Banashankari,High,Average
Kirthi's Biryani,Banashankari,Cafe,Yes,No,3.8,144,700,"Chinese, Cafe, Italian",Desserts,Banashankari,Medium,Average
Stoned Monkey,Banashankari,Dessert Parlor,Yes,No,4.3,860,500,"Desserts, Ice Cream",Desserts,Banashankari,Medium,Excellent
Floured-Baked With Love,Banashankari,"Takeaway, Delivery",No,No,3.8,45,400,Bakery,Desserts,Banashankari,Medium,Average
Waffle-A-Go Go,Banashankari,Dessert Parlor,Yes,No,3.9,70,400,"Fast Food, Desserts, Ice Cream",Desserts,Banashankari,Medium,Average
Sri Venkateshwara Sweet Meat Stall,Basavanagudi,"Sweet Shop, Quick Bites",No,No,4.0,98,400,"Mithai, Street Food, North Indian, Chinese",Desserts,Banashankari,Medium,Excellent
Redberrys,Basavanagudi,Cafe,Yes,No,4.0,219,600,"Cafe, Italian",Desserts,Banashankari,Medium,Excellent
Amande Patisserie,Basavanagudi,Bakery,Yes,No,4.0,73,300,"Bakery, French, Desserts",Desserts,Banashankari,Medium,Excellent
A2B Veg - Adyar Ananda Bhavan,Basavanagudi,Casual Dining,Yes,No,2.7,97,400,"South Indian, North Indian, Chinese, Street Food",Desserts,Banashankari,Medium,Poor
The Krishna Grand,Banashankari,Casual Dining,Yes,No,3.9,888,750,"North Indian, South Indian, Chinese, Fast Food, Juices",Dine-out,Banashankari,High,Average
Sea Spice by 7 Star,Banashankari,Casual Dining,Yes,Yes,4.0,349,1200,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",Dine-out,Banashankari,High,Excellent
Mini Punjabi Dhaba,Banashankari,Quick Bites,Yes,No,4.2,287,350,North Indian,Dine-out,Banashankari,Medium,Excellent
Onesta,Banashankari,"Casual Dining, Cafe",Yes,Yes,4.6,2556,600,"Pizza, Cafe, Italian",Dine-out,Banashankari,Medium,Excellent
Wamama,Banashankari,Casual Dining,Yes,Yes,4.2,354,800,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",Dine-out,Banashankari,High,Excellent
Jalsa,Banashankari,Casual Dining,Yes,Yes,4.1,775,800,"North Indian, Mughlai, Chinese",Dine-out,Banashankari,High,Excellent
Vinny's,Banashankari,Casual Dining,Yes,Yes,4.2,2115,800,"Pizza, Italian, Continental, Desserts",Dine-out,Banashankari,High,Excellent
Jcubez,Banashankari,Lounge,No,Yes,3.8,977,1300,Finger Food,Dine-out,Banashankari,High,Average
Gustoes Beer House,Banashankari,Pub,No,No,4.1,868,1200,"Continental, Italian, Mexican, North Indian, Chinese, Steak",Dine-out,Banashankari,High,Excellent
Penthouse Cafe,Banashankari,Cafe,Yes,No,4.0,324,700,"Cafe, Italian, Continental",Dine-out,Banashankari,Medium,Excellent
Spice Elephant,Banashankari,Casual Dining,Yes,No,4.1,787,800,"Chinese, North Indian, Thai",Dine-out,Banashankari,High,Excellent
Smacznego,Banashankari,Cafe,Yes,No,4.2,504,550,"Cafe, Mexican, Italian, Momos, Beverages",Dine-out,Banashankari,Medium,Excellent
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,Yes,No,4.1,402,500,Cafe,Dine-out,Banashankari,Medium,Excellent
Cafe Shuffle,Banashankari,Cafe,Yes,Yes,4.2,150,600,"Cafe, Italian, Continental",Dine-out,Banashankari,Medium,Excellent
The Coffee Shack,Banashankari,Cafe,Yes,Yes,4.2,164,500,"Cafe, Chinese, Continental, Italian",Dine-out,Banashankari,Medium,Excellent
Peppy Peppers,Banashankari,Casual Dining,No,No,4.2,244,800,"Italian, North Indian, Mexican",Dine-out,Banashankari,High,Excellent
Anna Kuteera,Banashankari,Casual Dining,Yes,No,4.0,771,450,"South Indian, North Indian, Chinese",Dine-out,Banashankari,Medium,Excellent
Szechuan Dragon,Banashankari,Casual Dining,Yes,No,4.2,1647,600,"Chinese, Thai, Momos",Dine-out,Banashankari,Medium,Excellent
1947,Banashankari,Casual Dining,No,Yes,4.0,808,850,"North Indian, Chinese",Dine-out,Banashankari,High,Excellent
Caf-Eleven,Banashankari,Cafe,No,No,4.0,424,450,"Cafe, Continental",Dine-out,Banashankari,Medium,Excellent
Thamboola,Banashankari,Casual Dining,Yes,No,3.9,135,800,"North Indian, Chinese, Continental",Dine-out,Banashankari,High,Average
San Churro Cafe,Banashankari,"Cafe, Casual Dining",Yes,No,3.8,918,800,"Cafe, Mexican, Italian",Dine-out,Banashankari,High,Average
Cafe Vivacity,Banashankari,Cafe,Yes,No,3.8,90,650,Cafe,Dine-out,Banashankari,Medium,Average
Chung Wah,Banashankari,Casual Dining,Yes,No,3.9,519,900,"Chinese, Momos, Thai, Vietnamese",Dine-out,Banashankari,High,Average
Vietnamese Kitchen,Banashankari,Casual Dining,Yes,No,3.6,105,700,Vietnamese,Dine-out,Banashankari,Medium,Average
Catch-up-ino,Banashankari,Cafe,Yes,No,3.9,133,800,"Cafe, Fast Food, Continental, Chinese, Momos",Dine-out,Banashankari,High,Average
Kirthi's Biryani,Banashankari,Cafe,Yes,No,3.8,144,700,"Chinese, Cafe, Italian",Dine-out,Banashankari,Medium,Average
T3H Cafe,Banashankari,Cafe,No,No,3.9,93,300,"Cafe, Italian, American",Dine-out,Banashankari,Medium,Average
Srikrishna Bhavan,Banashankari,Quick Bites,Yes,No,3.8,42,300,"South Indian, North Indian, Chinese",Dine-out,Banashankari,Medium,Average
Dal Tadkaa,Banashankari,Casual Dining,Yes,No,2.5,247,500,North Indian,Dine-out,Banashankari,Medium,Poor
The Vintage Cafe,Banashankari,Cafe,Yes,No,3.0,62,400,"Cafe, French, North Indian",Dine-out,Banashankari,Medium,Average
Green Gardenia,Banashankari,Casual Dining,Yes,No,3.8,160,700,"North Indian, Chinese",Dine-out,Banashankari,Medium,Average
Kadala Tarangaa,Banashankari,Casual Dining,Yes,No,3.6,129,600,"Mangalorean, Seafood, North Indian",Dine-out,Banashankari,Medium,Average
Vi Ra's Bar and Restaurant,Banashankari,Bar,No,No,3.3,62,800,"South Indian, North Indian, Chinese",Dine-out,Banashankari,High,Average
Nandhini Deluxe,Banashankari,Casual Dining,No,No,2.6,283,600,North Indian,Dine-out,Banashankari,Medium,Poor
J Spice,Banashankari,Casual Dining,Yes,No,3.8,59,750,"North Indian, Chinese",Dine-out,Banashankari,High,Average
Swadesh Tadka,Banashankari,Casual Dining,Yes,No,3.5,179,600,"North Indian, Chinese, Beverages",Dine-out,Banashankari,Medium,Average
Iyer's Tiffin Centre,Banashankari,Quick Bites,No,No,3.8,62,150,"South Indian, Chinese",Dine-out,Banashankari,Low,Average
Darbar,Banashankari,Bar,No,No,3.0,98,800,"North Indian, Chinese",Dine-out,Banashankari,High,Average
Beijing Bites,Banashankari,Casual Dining,No,No,2.7,128,850,"Chinese, Thai",Dine-out,Banashankari,High,Poor
The Pizzeria,Banashankari,Casual Dining,Yes,No,2.8,45,800,"Pizza, Italian, Salad",Dine-out,Banashankari,High,Poor
As On Fire,South Bangalore,Food Truck,Yes,No,3.5,41,400,"Pizza, Fast Food, BBQ",Dine-out,Banashankari,Medium,Average
Pizza Hut,Banashankari,Casual Dining,Yes,No,3.7,405,750,"Pizza, Fast Food",Dine-out,Banashankari,High,Average
New Prashanth Hotel,Banashankari,Casual Dining,Yes,No,3.9,388,650,"Biryani, North Indian, Seafood, Andhra",Dine-out,Banashankari,Medium,Average
Taaza Thindi,Banashankari,Quick Bites,No,No,4.7,651,100,South Indian,Dine-out,Banashankari,Low,Excellent
Ayodhya Upachar,Banashankari,Quick Bites,Yes,No,4.3,734,200,"South Indian, North Indian, Chinese, Street Food",Dine-out,Banashankari,Low,Excellent
Roving Feast,Banashankari,Quick Bites,No,No,4.0,1047,450,"Italian, Continental, Fast Food, Chinese, Momos",Dine-out,Banashankari,Medium,Excellent
KFC,Banashankari,Quick Bites,Yes,No,3.8,505,450,"Burger, Fast Food",Dine-out,Banashankari,Medium,Average
Gama Gama,Banashankari,Quick Bites,Yes,No,3.9,264,200,South Indian,Dine-out,Banashankari,Low,Average
McDonald's,Banashankari,Quick Bites,Yes,No,3.9,286,500,"Burger, Fast Food",Dine-out,Banashankari,Medium,Average
Sri Laxmi Venkateshwara Coffee Bar,Banashankari,Quick Bites,No,No,4.4,343,100,South Indian,Dine-out,Banashankari,Low,Excellent
Messy Bowl,Banashankari,Quick Bites,No,No,3.8,70,500,"Fast Food, Beverages",Dine-out,Banashankari,Medium,Average
Janahaar,Banashankari,Quick Bites,Yes,No,3.8,70,100,South Indian,Dine-out,Banashankari,Low,Average
Chumma Delicious,Banashankari,Quick Bites,Yes,No,3.7,237,200,"South Indian, Fast Food",Dine-out,Banashankari,Low,Average
Bengaluru Coffee House,Banashankari,Quick Bites,Yes,No,4.1,201,300,"South Indian, North Indian, Chinese, Street Food",Dine-out,Banashankari,Medium,Excellent
Foodiction,Banashankari,Quick Bites,Yes,No,2.8,506,500,"North Indian, Fast Food, Chinese, Burger",Dine-out,Banashankari,Medium,Poor
The Biryani Cafe,Banashankari,Quick Bites,No,No,4.1,520,300,"Biryani, Chinese, Kebab",Dine-out,Banashankari,Medium,Excellent
Addhuri Udupi Bhojana,Banashankari,Quick Bites,No,No,3.7,88,300,"South Indian, North Indian",Dine-out,Banashankari,Medium,Average
Subway,Banashankari,Quick Bites,Yes,No,3.7,136,600,"Salad, Fast Food",Dine-out,Banashankari,Medium,Average
Hotel Mangala,Banashankari,Quick Bites,No,No,3.9,88,250,South Indian,Dine-out,Banashankari,Low,Average
SLV Swadishta,Banashankari,Quick Bites,No,No,3.8,189,300,South Indian,Dine-out,Banashankari,Medium,Average
Upahar Sagar,Banashankari,Quick Bites,No,No,3.8,39,350,"South Indian, Chinese, North Indian",Dine-out,Banashankari,Medium,Average
Domino's Pizza,Banashankari,Quick Bites,Yes,No,3.9,540,800,"Pizza, Fast Food",Dine-out,Banashankari,High,Average
New Sagar Fast Food,Banashankari,Quick Bites,No,No,3.6,71,250,"North Indian, South Indian",Dine-out,Banashankari,Low,Average
Chicken Hunt,Banashankari,Quick Bites,Yes,No,3.5,88,350,"South Indian, North Indian, Chinese, Biryani",Dine-out,Banashankari,Medium,Average
Pizza Stop,Banashankari,Quick Bites,Yes,No,3.0,87,600,"Pizza, Italian",Dine-out,Banashankari,Medium,Average
Faasos,Banashankari,Quick Bites,Yes,No,4.2,415,500,"North Indian, Biryani, Fast Food",Dine-out,Banashankari,Medium,Excellent
Rasoi,Banashankari,Quick Bites,Yes,No,3.3,128,300,"North Indian, Chinese",Dine-out,Banashankari,Medium,Average
SLV Refreshment,Banashankari,Quick Bites,No,No,4.1,94,100,South Indian,Dine-out,Banashankari,Low,Excellent
Chatar Patar,Banashankari,Quick Bites,No,No,3.7,65,300,"Fast Food, Street Food",Dine-out,Banashankari,Medium,Average
Kidambi's Kitchen,Banashankari,Quick Bites,No,No,3.5,52,300,South Indian,Dine-out,Banashankari,Medium,Average
Tandoori Knight,Banashankari,Quick Bites,Yes,No,3.0,290,450,"North Indian, Chinese, Biryani, Kebab",Dine-out,Banashankari,Medium,Average
Utsav,Banashankari,Quick Bites,Yes,No,3.7,59,200,"North Indian, Street Food",Dine-out,Banashankari,Low,Average
Mane Thindi,Banashankari,Quick Bites,No,No,3.7,130,200,South Indian,Dine-out,Banashankari,Low,Average
Juicy Momos,Banashankari,Quick Bites,Yes,No,3.5,80,250,"Tibetan, Momos",Dine-out,Banashankari,Low,Average
Donne Biriyani House,Banashankari,Quick Bites,Yes,No,3.9,441,400,"South Indian, North Indian, Chinese, Biryani",Dine-out,Banashankari,Medium,Average
Matru Sagar,Banashankari,Quick Bites,Yes,No,3.6,84,250,"South Indian, North Indian, Chinese",Dine-out,Banashankari,Low,Average
Kavali,Banashankari,Quick Bites,No,No,4.0,42,300,"South Indian, Street Food",Dine-out,Banashankari,Medium,Excellent
Bunt's Biriyani Palace,Banashankari,Quick Bites,Yes,No,3.0,213,400,"North Indian, South Indian, Chinese, Biryani, Seafood",Dine-out,Banashankari,Medium,Average
Ranganna Military Hotel,Jayanagar,Quick Bites,No,No,4.2,725,350,"South Indian, Biryani",Dine-out,Banashankari,Medium,Excellent
Roti Ghar,Basavanagudi,Casual Dining,Yes,No,3.9,750,500,"North Indian, Chinese, South Indian",Dine-out,Banashankari,Medium,Average
Grand Village,Basavanagudi,Casual Dining,No,No,3.8,166,600,"North Indian, Rajasthani",Dine-out,Banashankari,Medium,Average
Vidyarthi Bhavan,Basavanagudi,Quick Bites,No,No,4.4,4460,150,South Indian,Dine-out,Banashankari,Low,Excellent
Bharjari Oota,Basavanagudi,Casual Dining,No,No,3.9,153,350,South Indian,Dine-out,Banashankari,Medium,Average
Gokul Veg,Basavanagudi,Casual Dining,Yes,No,3.8,469,750,"North Indian, Chinese, Beverages",Dine-out,Banashankari,High,Average
SLV Corner Restaurant,Basavanagudi,Casual Dining,Yes,No,4.1,364,550,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",Dine-out,Banashankari,Medium,Excellent
Timepass Dinner,Basavanagudi,Casual Dining,Yes,No,3.8,286,600,North Indian,Dine-out,Banashankari,Medium,Average
Baisakhi,Basavanagudi,Casual Dining,Yes,No,3.8,527,500,North Indian,Dine-out,Banashankari,Medium,Average
Eat Repeat,Basavanagudi,Quick Bites,Yes,No,3.9,101,150,South Indian,Dine-out,Banashankari,Low,Average
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,Quick Bites,Yes,No,4.1,558,150,South Indian,Dine-out,Banashankari,Low,Excellent
Srinathji's Cafe,Basavanagudi,"Casual Dining, Cafe",No,No,3.8,148,550,"North Indian, Cafe, Chinese, Fast Food",Dine-out,Banashankari,Medium,Average
Soho Bar & Grill,Basavanagudi,Pub,No,No,2.7,377,1100,"North Indian, Chinese, Thai",Dine-out,Banashankari,High,Poor
Kollapuri's,Basavanagudi,Quick Bites,No,No,3.9,206,450,"South Indian, Mangalorean",Dine-out,Banashankari,Medium,Average
Bhavani Restaurant,Basavanagudi,Quick Bites,No,No,3.9,100,300,"South Indian, North Indian, Chinese",Dine-out,Banashankari,Medium,Average
Puliyogare Point,Basavanagudi,Quick Bites,Yes,No,4.2,444,100,South Indian,Dine-out,Banashankari,Low,Excellent
Zephyr,Basavanagudi,Casual Dining,No,No,3.9,133,650,"Italian, Continental",Dine-out,Banashankari,Medium,Average
Redberrys,Basavanagudi,Cafe,Yes,No,4.0,219,600,"Cafe, Italian",Dine-out,Banashankari,Medium,Excellent
Hotel Dwarka,Basavanagudi,Quick Bites,No,No,4.2,253,250,South Indian,Dine-out,Banashankari,Low,Excellent
Ma-Arya Family Restaurant,Basavanagudi,Casual Dining,No,No,3.7,61,600,"Biryani, South Indian, North Indian, Chinese, Andhra",Dine-out,Banashankari,Medium,Average
A2B - Adyar Ananda Bhavan,Mysore Road,Casual Dining,Yes,No,3.8,155,400,"South Indian, Fast Food, Street Food",Dine-out,Banashankari,Medium,Average
Ragoo's,Jayanagar,Casual Dining,Yes,No,3.9,233,800,"Italian, Pizza, North Indian, Salad",Dine-out,Banashankari,High,Average
Imperial Restaurant,Mysore Road,Casual Dining,Yes,No,3.7,264,750,"North Indian, Chinese, Biryani, Beverages",Dine-out,Banashankari,High,Average
Udupi Sri Krishna Bhavan,Basavanagudi,Quick Bites,No,No,4.1,238,600,South Indian,Dine-out,Banashankari,Medium,Excellent
Curry Leaves,Basavanagudi,Casual Dining,Yes,No,4.1,176,800,"Andhra, North Indian, Chinese",Dine-out,Banashankari,High,Excellent
Goli Vada Pav No. 1,Basavanagudi,Quick Bites,Yes,No,3.7,93,200,Street Food,Dine-out,Banashankari,Low,Average
Ice Thunder,Basavanagudi,Quick Bites,No,No,3.8,124,300,"South Indian, Fast Food, North Indian, Desserts",Dine-out,Banashankari,Medium,Average
South Kitchen,Basavanagudi,Quick Bites,Yes,No,4.3,275,100,South Indian,Dine-out,Banashankari,Low,Excellent
Upahara Darshini,Basavanagudi,Quick Bites,No,No,4.2,254,150,South Indian,Dine-out,Banashankari,Low,Excellent
Mahalaxmi Tiffin Room,Basavanagudi,Quick Bites,No,No,4.1,177,100,South Indian,Dine-out,Banashankari,Low,Excellent
Sandwichwallas,Basavanagudi,Quick Bites,Yes,No,4.0,132,200,Fast Food,Dine-out,Banashankari,Low,Excellent
Udupi Grand,Basavanagudi,Quick Bites,Yes,No,3.8,74,300,"South Indian, North Indian, Chinese",Dine-out,Banashankari,Medium,Average
Castle Rock,Uttarahalli,Casual Dining,Yes,No,3.6,172,700,"North Indian, Chinese",Dine-out,Banashankari,Medium,Average
Kamat Bugle Rock,Basavanagudi,Quick Bites,Yes,No,3.9,543,300,"South Indian, Fast Food",Dine-out,Banashankari,Medium,Average
Basavanagudi Mylari,Basavanagudi,Quick Bites,No,No,4.0,52,300,South Indian,Dine-out,Banashankari,Medium,Excellent
RS Shiv Sagar,Basavanagudi,Casual Dining,No,No,3.7,217,450,"North Indian, Chinese, South Indian, Fast Food, Juices",Dine-out,Banashankari,Medium,Average
Pramukh Family Restaurant,Basavanagudi,Casual Dining,No,No,3.9,111,700,"North Indian, Chinese, Mughlai",Dine-out,Banashankari,Medium,Average
Chaatimes,Basavanagudi,Quick Bites,Yes,No,3.8,133,200,"Street Food, Fast Food",Dine-out,Banashankari,Low,Average
Vybhava,Jayanagar,Quick Bites,No,No,3.8,39,250,"South Indian, North Indian",Dine-out,Banashankari,Low,Average
Shree Venkateshwara North Karnataka Hotel,Basavanagudi,Quick Bites,No,No,4.0,64,200,South Indian,Dine-out,Banashankari,Low,Excellent
Harshi Super Sandwich,Basavanagudi,Quick Bites,No,No,3.8,148,150,"Fast Food, Street Food",Dine-out,Banashankari,Low,Average
Belly Squad Food Truck,South Bangalore,Food Truck,No,No,3.8,55,300,"Chinese, Rolls, Biryani, Momos",Dine-out,Banashankari,Medium,Average
Jcubez,Banashankari,Lounge,No,Yes,3.8,977,1300,Finger Food,Drinks & nightlife,Banashankari,High,Average
Gustoes Beer House,Banashankari,Pub,No,No,4.1,868,1200,"Continental, Italian, Mexican, North Indian, Chinese, Steak",Drinks & nightlife,Banashankari,High,Excellent
Vi Ra's Bar and Restaurant,Banashankari,Bar,No,No,3.3,62,800,"South Indian, North Indian, Chinese",Drinks & nightlife,Banashankari,High,Average
Darbar,Banashankari,Bar,No,No,3.0,98,800,"North Indian, Chinese",Drinks & nightlife,Banashankari,High,Average
Soho Bar & Grill,Basavanagudi,Pub,No,No,2.7,377,1100,"North Indian, Chinese, Thai",Drinks & nightlife,Banashankari,High,Poor
Deja Vu Resto Bar,Bannerghatta Road,Pub,Yes,Yes,4.4,2487,900,"North Indian, Italian",Buffet,Bannerghatta Road,High,Excellent
Fattoush,Bannerghatta Road,Casual Dining,Yes,Yes,4.2,1964,1000,"Arabian, Biryani, Chinese, Middle Eastern, Fast Food, North Indian, Mughlai, Seafood",Buffet,Bannerghatta Road,High,Excellent
Empire Restaurant,Bannerghatta Road,Casual Dining,Yes,No,4.3,3178,750,"North Indian, Mughlai, South Indian, Chinese",Buffet,Bannerghatta Road,High,Excellent
Abhiruchi Hotel,Bannerghatta Road,Casual Dining,Yes,No,3.3,455,550,"Andhra, Biryani, North Indian, Chinese",Buffet,Bannerghatta Road,Medium,Average
Barbeque Nation,JP Nagar,Casual Dining,No,Yes,4.7,3845,1600,"North Indian, European, Mediterranean, BBQ, Kebab",Buffet,Bannerghatta Road,High,Excellent
Sattvam,JP Nagar,Casual Dining,No,No,4.3,353,1200,"North Indian, South Indian",Buffet,Bannerghatta Road,High,Excellent
24th Main,JP Nagar,Casual Dining,No,Yes,4.1,1234,800,"North Indian, South Indian, Chinese",Buffet,Bannerghatta Road,High,Excellent
Zaitoon,JP Nagar,Casual Dining,Yes,Yes,4.1,1538,1000,"BBQ, Arabian, Chinese, North Indian, Desserts",Buffet,Bannerghatta Road,High,Excellent
Oye Amritsar,JP Nagar,Casual Dining,Yes,Yes,3.8,756,1000,North Indian,Buffet,Bannerghatta Road,High,Average
Melt - Eden Park,JP Nagar,Casual Dining,Yes,Yes,4.0,347,1000,"North Indian, Chinese, Thai, Mughlai, Seafood",Buffet,Bannerghatta Road,High,Excellent
Spice Code,JP Nagar,Casual Dining,No,Yes,4.0,165,1000,"South Indian, North Indian, Chinese, Biryani",Buffet,Bannerghatta Road,High,Excellent
The Onyx - The HHI Select Bengaluru,JP Nagar,Casual Dining,No,No,3.3,177,950,"North Indian, Chinese, Continental",Buffet,Bannerghatta Road,High,Average
Sankranthi Veg Restaurant,BTM,Casual Dining,Yes,No,3.0,102,600,"South Indian, North Indian, Chinese",Buffet,Bannerghatta Road,Medium,Average
Cafe Kabana,Bannerghatta Road,Cafe,No,Yes,4.0,200,700,"Cafe, Continental",Cafes,Bannerghatta Road,Medium,Excellent
Butterly,Bannerghatta Road,Cafe,Yes,No,3.9,102,450,"Cafe, Bakery, Beverages",Cafes,Bannerghatta Road,Medium,Average
Black Mug Cafe,Bannerghatta Road,Cafe,Yes,No,3.7,171,300,Cafe,Cafes,Bannerghatta Road,Medium,Average
#refuel,Bannerghatta Road,Cafe,Yes,No,3.7,37,400,"Cafe, Beverages",Cafes,Bannerghatta Road,Medium,Average
WAFL,Bannerghatta Road,Food Court,Yes,No,3.9,40,400,"Cafe, Fast Food, Desserts, Beverages",Cafes,Bannerghatta Road,Medium,Average
